match_definition,city,_property_key,rows,unique_sale_dates,first_date,last_date
parcel_unit_like,אשדוד,אשדוד|2061-78|73.8||1.0|דירה בבית קומות|2020.0,3,3,2016-11-06,2022-11-01
parcel_unit_like,אשדוד,אשדוד|2061-78|73.8||3.0|דירה בבית קומות|2020.0,2,2,2022-08-16,2023-05-17
parcel_unit_like,אשדוד,אשדוד|2061-78|73.8||4.0|דירה בבית קומות|2020.0,2,2,2005-06-01,2021-03-06
parcel_unit_like,אשדוד,אשדוד|2061-78|83.8||4.0|דירה בבית קומות|2020.0,2,2,2005-05-19,2021-06-22
parcel_unit_like,אשדוד,אשדוד|2061-79|62.5||4.0|דירה בבית קומות|1970.0,2,2,2012-12-12,2024-08-14
parcel_unit_like,אשדוד,אשדוד|2061-79|62.5||4.0|דירה בבית קומות|2018.0,2,2,2015-05-03,2019-06-25
parcel_unit_like,אשדוד,אשדוד|2061-79|76.45||2.0|דירה בבית קומות|1970.0,2,2,2017-03-17,2024-09-02
parcel_unit_like,אשדוד,אשדוד|2061-79|76.45||4.0|דירה בבית קומות|1970.0,2,2,2016-04-17,2022-01-31
parcel_unit_like,אשדוד,אשדוד|2061-80|102.6||8.0|דירה בבית קומות|1980.0,2,2,2007-08-27,2022-01-19
parcel_unit_like,אשדוד,אשדוד|2061-88|37.8||0.0|חנות|1950.0,9,2,2010-07-22,2017-12-22
parcel_unit_like,אשדוד,אשדוד|2061-90|71.59||3.0|דירה בבית קומות|2014.0,9,3,2015-03-18,2017-10-30
parcel_unit_like,אשדוד,אשדוד|2061-90|71.59||4.0|דירה בבית קומות|2014.0,6,2,2014-10-22,2017-03-02
parcel_unit_like,אשדוד,אשדוד|2061-91|41.2||2.0|דירה בבית קומות|1994.0,4,2,2009-07-29,2017-05-24
parcel_unit_like,אשדוד,אשדוד|2061-91|59.4||3.0|דירה בבית קומות|1994.0,4,2,2010-08-22,2014-09-12
parcel_unit_like,אשדוד,אשדוד|2061-91|59.4||4.0|דירה בבית קומות|1994.0,4,2,2006-05-25,2014-09-10
